model,accuracy,f1_macro,f1_micro,f1_weighted,multi_f1_macro,multi_accuracy,f1_UNKNOWN
sgd_span_ctx_masked,0.9766990291262136,0.9432732027448292,0.9766990291262136,0.9764413206674348,0.9307892590501285,0.9683794466403162,0.8888888888888888
logreg_span_char,0.9572815533980582,0.9086558855232043,0.9572815533980582,0.9534967942893791,0.9146423221514698,0.9525691699604744,0.6046511627906976
logreg_span_ctx,0.9631067961165048,0.9068831472350284,0.9631067961165048,0.9613323297202879,0.8821842910521344,0.9446640316205533,0.7446808510638298
logreg_span_wordchar,0.9563106796116505,0.8964968096391527,0.9563106796116505,0.9538115937364772,0.8973391195084055,0.9486166007905138,0.6170212765957447
markov_lookup,0.9368932038834952,0.8946927399360133,0.9368932038834952,0.9365269047989341,0.8991180256220134,0.932806324110672,0.4036697247706422
