tau,f1_macro,accuracy,coverage
0.35,0.9578459731582518,0.9840954274353877,0.9980119284294234
0.4,0.9603469344437435,0.9840954274353877,0.9960238568588469
0.45,0.9603469344437435,0.9840954274353877,0.9960238568588469
0.5,0.9603469344437435,0.9840954274353877,0.9960238568588469
0.55,0.9603469344437435,0.9840954274353877,0.9940357852882704
0.6,0.9603469344437435,0.9840954274353877,0.9920477137176938
0.65,0.9597109677676321,0.9821073558648111,0.9900596421471173
0.7,0.9586052900152651,0.9801192842942346,0.9821073558648111
0.75,0.9586052900152651,0.9801192842942346,0.9801192842942346
0.8,0.9274694694546385,0.9721669980119284,0.9721669980119284
0.85,0.8988500356419432,0.9642147117296223,0.9622266401590457
0.9,0.8767462767710728,0.9502982107355865,0.9443339960238568
