tau,f1_macro,accuracy,coverage
0.35,0.9489061421212942,0.9710691823899371,0.9962264150943396
0.4,0.9489061421212942,0.9710691823899371,0.9962264150943396
0.45,0.9476787807920566,0.9710691823899371,0.9937106918238994
0.5,0.9476787807920566,0.9710691823899371,0.9937106918238994
0.55,0.9519852087502236,0.9710691823899371,0.9886792452830189
0.6,0.9265561519510177,0.9660377358490566,0.979874213836478
0.65,0.9141457096934452,0.9635220125786164,0.9748427672955975
0.7,0.9074953581960623,0.9622641509433962,0.969811320754717
0.75,0.9014632213760784,0.959748427672956,0.9647798742138365
0.8,0.8859670361964144,0.949685534591195,0.9509433962264151
0.85,0.8233932156132959,0.9345911949685535,0.9308176100628931
0.9,0.7665345085354288,0.919496855345912,0.9056603773584906
