model,accuracy,f1_macro,f1_micro,multi_f1_macro,f1_UNKNOWN
sgd_span_ctx_masked,0.9840954274353877,0.9556087097055188,0.9840954274353877,0.9845368306906769,0.9777777777777777
markov_lookup,0.9662027833001988,0.929424295869613,0.9662027833001988,0.9748520710059172,0.9166666666666666
logreg_span_char,0.974155069582505,0.921670358150158,0.974155069582505,1.0,0.9405405405405406
logreg_span_wordchar,0.9781312127236581,0.920546024658062,0.9781312127236581,0.9883760683760683,0.946236559139785
logreg_span_ctx,0.9662027833001988,0.9073752821173584,0.9662027833001988,0.9883760683760683,0.9247311827956989
